Child ID,Village ID,Serial #1,Serial #2,Date #2,Serial #3,Date #3,Serial #4,Date #4,Serial #5,Date #5,Serial #6,Date #6,Serial #7,Date #7
XYYRKW,121,5A28002478,6109000660,2018-06-14,6116001923,2018-10-18,6111002062,2018-11-13,,,,,,
QQWGGK,121,6116001387,6118002839,2018-06-14,5b20001222,2018-09-12,6118002258,2018-11-13,,,,,,
KFPYVZ,121,6116001140,6116000920,2018-05-17,5B20001355,2018-06-14,5B20001355,2018-10-11,6118003554,2018-11-13,,,,
MGEQFW,121,6115000461,6118002829,2018-06-14,5B12002715,2018-11-13,,,,,,,,
UTKKKU,121,6129002320,6111001754,2018-06-14,6118001932,2018-10-30,6118002863,2018-11-13,,,,,,
GGAMGA,121,6118002631,6118003165,2018-06-14,6111002059,2018-11-13,6118001878,2018-12-10,,,,,,
NTBYXC,121,6116002263,6111000190,2018-06-14,6118003318,2018-09-12,5B14001989,2018-11-13,,,,,,
CCEYGB,121,6116001425,6111000044,2018-06-14,6111001727,2018-11-13,,,,,,,,
YUWEFN,121,5B12003749,6118001689,2018-06-14,5B12002574,2018-09-12,6116002195,2018-10-24,6130000011,2018-11-13,6116002469,2018-12-17,,
NXFGER,121,6118002989,6118003060,2018-06-14,6111000044,,6115001358,2018-07-12,5a27000763,2018-11-13,6116000780,2018-12-24,,
YSBANZ,121,6111000981,5B20002310,2018-06-14,5B12002189,2018-09-05,5A28002635,2018-11-13,,,,,,
AHBEZV,121,5A29001242,6111001491,2018-06-14,6111000622,2018-11-13,5A27001425,2018-12-10,,,,,,
ZHVWKR,121,6116001380,6118003109,2018-06-14,6118002648,2018-09-12,6116002713,2018-11-13,,,,,,
CYPHKV,121,6114000067,6116002510,2018-06-14,6112001187,2018-11-13,,,,,,,,
CPCXVX,121,6118002062,6116001139,2018-06-14,6111001485,2018-11-13,,,,,,,,
AVWHZC,121,6118001574,6118001534,2018-06-14,6129001713,2018-10-04,6112000191,2018-11-13,,,,,,
HMHGFR,121,6127002893,6116002166,2018-06-14,6111001886,2018-09-12,6129002082,2018-11-13,6115001196,2019-01-29,6115000482,2019-02-19,,
SPARE,121,6116000920,6116001805,2018-05-23,6115001358,2018-06-14,6115001196,2018-11-13,,,,,,
GKFZCR,122,5a27001755,6116001767,2018-06-24,5B20001950,2018-10-02,6116001582,2018-11-13,6111000944,2019-02-04,,,,
KKEHYS,122,6111001874,6116001710,2018-06-24,6116002315,2018-11-13,,,,,,,,
KGPCFU,122,6112000016,6115001331,2018-06-24,6116001025,2018-10-02,6111001675,2018-11-13,,,,,,
TKCNQK,122,6118002580,6116002212,2018-06-24,6116002179,2018-11-13,,,,,,,,
RHCYVP,122,6118002614,5a22000806,2018-06-24,5a28001139,2018-09-10,6111002101,2018-11-13,,,,,,
ZNXAFR,122,6112000153,6118002311,2018-06-24,6118001574,2018-10-02,6111002106,2018-11-13,,,,,,
MEWRWQ,122,6116001415,5b20002248,2018-06-24,6116001618,2018-11-13,,,,,,,,
QXWSYX,122,6116000870,5a27001416,2018-06-24,6118002380,2018-11-13,6111001807,2019-02-04,,,,,,
FVGKGT,122,5A29000316,5b12003039,2018-06-24,5A29001242,2018-10-09,5B12002834,2018-11-13,6118001658,2019-02-04,,,,
ANWUXY,122,5A28002382,6116001096,2018-06-24,6116001215,2018-10-09,5A22000952,2018-11-13,,,,,,
VKEBHM,122,6115000514,6111000647,2018-06-24,5a27001538,2018-11-13,6118002087,2018-11-28,,,,,,
KTMHTM,122,5A27002061,5b20001363,2018-06-24,5A22001065,2018-11-13,6130000207,2019-01-07,,,,,,
XZYEFK,122,5B12003028,6116001035,2018-06-24,5A27001820,2018-09-10,5a27001414,2018-11-13,6118002925,2019-02-18,,,,
SHHHPZ,122,6115000807,5A27001219,2018-06-24,6113001057,2018-11-13,,,,,,,,
BKVQQC,122,6111001851,6116002591,2018-06-24,6116001922,2018-10-02,6114000008,2018-11-13,,,,,,
EXTRA,122,6129001067,6115001506,2018-06-24,5b20002364,2018-11-13,,,,,,,,
EXTRA,122,6118002188,6111002047,2018-06-24,6116001060,2018-11-13,5A27002022,2018-11-27,,,,,,
EXTRA,122,6126000234,5a28001748,2018-06-24,6118003507,2018-09-10,6118002296,2018-11-13,,,,,,
