tablet_serial,storybook_id,start_time,end_time
6116001305,406,947041188,
6116001305,501,947041283,
6116001305,502,947041479,
6116001305,204,947041843,
6116001305,109,947041895,
6116001305,208,947041933,
6116001305,206,947041942,
6116001305,209,947042012,
6116001305,905,947042047,
6116001305,108,947042076,
6116001305,209,947042123,
6116001305,905,947044124,
6116001305,905,947044167,
6116001305,904,947044227,
6116001305,402,947044300,
6116001305,106,947124046,
6116001305,103,947124110,
6116001305,106,947124145,
6116001305,203,947124159,
6116001305,206,947124209,
6116001305,201,947124284,
6116001305,102,947124324,
6116001305,205,947124363,
6116001305,204,947124459,
6116001305,302,947124505,
6116001305,306,947124566,
6116001305,203,947124640,
6116001305,202,947124693,
6116001305,303,947124740,
6116001305,921,947124835,
6116001305,305,947125787,
6116001305,a,947125866,
6116001305,b,947125895,
6116001305,ch,947125930,
6116001305,d,947125963,
6116001305,e,947125997,
6116001305,f,947126025,
6116001305,g,947126062,
6116001305,j,947126096,
6116001305,k,947126130,
6116001305,l,947126164,
6116001305,501,947126203,
6116001305,l,947126230,
6116001305,m,947126259,
6116001305,n,947126302,
6116001305,o,947126340,
6116001305,p,947126388,
6116001305,s,947126473,
6116001305,u,947126504,
6116001305,ng,947126547,
6116001305,gh,947126630,
6116001305,401,947126685,
6116001305,404,947126786,
6116001305,406,947178183,
6116001305,u,947178297,
6116001305,u,947178307,
6116001305,v,947178336,
6116001305,z,947178367,
6116001305,ng1,947178396,
6116001305,ng,947178424,
6116001305,th,947178465,
6116001305,gh,947178501,
6116001305,dh,947178541,
6116001305,w,947178583,
6116001305,y,947178619,
6116001305,v,947178649,
6116001305,t,947178659,
6116001305,s,947178701,
6116001305,r,947178737,
6116001305,p,947178774,
6116001305,o,947178821,
6116001305,n,947178853,
6116001305,m,947178890,
6116001305,l,947178916,
6116001305,k,947178943,
6116001305,j,947178975,
6116001305,907,947179043,
6116001305,910,947179073,
6116001305,906,947179098,
6116001305,501,947179107,
6116001305,401,947179144,
6116001305,406,947179259,
6116001305,210,947179350,
6116001305,310,947179456,
6116001305,309,947179491,
6116001305,e,947210516,
6116001305,106,947210581,
6116001305,101,947210607,
6116001305,102,947210658,
6116001305,206,947210692,
6116001305,206,947210770,
6116001305,107,947210838,
6116001314,503,946780880,
6116001314,502,946781294,
6116001314,504,946781515,
6116001314,406,946781662,
6116001314,404,946781800,
6116001314,407,946782002,
6116001314,401,946782308,
6116001314,402,946782516,
6116001314,403,946782739,
6116001314,406,946782909,
6116001314,301,946782930,
6116001314,302,946783022,
6116001314,304,946783096,
6116001314,303,946783260,
6116001314,305,946783378,
6116001314,306,946783520,
6116001314,307,946783648,
6116001314,305,946783884,
6116001314,210,946784038,
6116001314,211,946784138,
6116001314,209,946785172,
6116001314,208,946785251,
6116001314,207,946785320,
6116001314,206,946785383,
6116001314,205,946785689,
6116001314,204,946785756,
6116001314,g,946785876,
6116001314,a,946785885,
6116001314,b,946785918,
6116001314,ch,946785948,
6116001314,d,946785983,
6116001314,e,946786012,
6116001314,f,946786055,
6116001314,g,946786103,
6116001314,h,946786150,
6116001314,i,946786182,
6116001314,j,946786207,
6116001314,104,946786238,
6116001314,j,946786249,
6116001314,k,946786278,
6116001314,l,946786313,
6116001314,m,946786342,
6116001314,n,946786368,
6116001314,o,946786396,
6116001314,s,946786424,
6116001314,506,946951625,
6116001314,308,946952004,
6116001314,906,946952076,
6116001314,909,946952328,
6116001314,504,946952567,
6116001314,501,946952701,
6116001314,503,946952900,
6116001314,309,946953209,
6116001314,206,946953281,
6116001314,401,946953392,
6116001314,404,946953503,
6116001314,f,946953647,
6116001314,109,946953682,
6116001314,204,946953734,
6116001314,310,946953782,
6116001314,202,946953860,
6116001314,402,946953905,
6116001314,905,946954018,
6116001314,406,946954220,
6116001314,205,946954339,
6116001314,307,946954406,
6116001314,903,946954741,
6116001314,906,946955057,
6116001314,201,947296646,
6116001340,a,949989192,
6116001340,b,949989459,
6116001340,ch,949989569,
6116001340,d,949989699,
6116001340,e,949989809,
6116001340,f,949990011,
6116001340,k,949990194,
6116001340,g,949990200,
6116001340,g,949990706,
6116001340,h,949990733,
6116001340,h,949990916,
6116001340,i,949990966,
6116001340,j,949991203,
6116001340,501,949991275,
6116001340,m,949991301,
6116001340,p,949992117,
6116001340,101,949992121,
6116001340,p,949992134,
6116001340,r,949992156,
6116001340,303,949992181,
6116001340,j,950062317,
6116001340,k,950062334,
6116001340,404,950238357,
6116001340,407,950238367,
6116001340,a,950238382,
6116001340,b,950238413,
6116001340,ch,950238440,
6116001340,ch,950238462,
6116001340,d,950238480,
6116001340,e,950238509,
6116001340,f,950238534,
6116001340,g,950238565,
6116001340,h,950238595,
6116001340,i,950238626,
6116001340,j,950238663,
6116001340,401,950238699,
6116001340,k,950239073,
6116001340,l,950239682,
6116001340,102,950239779,
6116001340,m,950239789,
6116001340,m,950239805,
6116001340,a,950248227,
6116001340,301,950248301,
6116001340,202,950248366,
6116001340,f,950262781,
6116001340,f,950262782,
6116001340,902,950264467,
6116001340,918,950264530,
6116001340,921,950264600,
6116001340,916,950264674,
6116001340,914,950264781,
6116001340,919,950264842,
6116001340,920,950264937,
6116001340,913,950265026,
6116001340,501,950265119,
6116001340,909,950265126,
6116001340,905,950265207,
6116001340,302,950265322,
6116001340,904,950265322,
6116001340,e,950265944,
6116001340,f,950265952,
6116001340,206,950272873,
6116001340,206,950272930,
6116001340,501,950272946,
6116001340,203,950272991,
6116001340,103,950273700,
6116001340,d,950273717,
6116001340,ch,950273771,
6116001340,207,950323718,
6116001340,305,950325696,
6116001340,304,950325755,
6116001340,dh,950326653,
6116001340,104,950326691,
6116001340,206,950326782,
6116001340,901,950326849,
6116001340,i,950350382,
6116001340,404,950405126,
6116001340,407,950405349,
6116001340,112,950405408,
6116001340,m,950405487,
6116001340,m,950405554,
6116001340,m,950405574,
6116001340,n,950405822,
6116001340,o,950406092,
6116001340,p,950406144,
6116001340,t,950406226,
6116001340,r,950406234,
6116001340,116,950406244,
6116001340,116,950406252,
6116001345,902,946954349,
6116001373,204,1484056377,
6116001373,a,1484056425,
6116001373,k,1484056458,
6116001373,a,1484097447,
6116001373,g,1484097466,
6116001373,m,1484097493,
6116001373,k,1484097517,
6116001373,ch,1484101285,
6116001373,k,1484122941,
6116001373,m,1484123075,
6116001373,l,1484123172,
6116001373,z,1484123268,
6116001373,w,1484123345,
6116001373,202,1484727950,
6116001373,401,1484727988,
6116001373,301,1484728077,
6116001373,506,1484728119,
6116001373,502,1484728399,
6116001373,503,1484728549,
6116001373,505,1484728699,
6116001373,304,1484728819,
6116001373,305,1484728833,
6116001373,904,1484728903,
6116001373,310,1484728948,
6116001373,109,1484729512,
