id,title,comprehension_questions,asset_path
3181,malookaloo,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-malookaloo/
3191,malookaloo,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-malookaloo/
3195,whatischifundomaking,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-whatischifundomaking/
3196,coloursoftherainbow,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-coloursoftherainbow/
3207,coloursoftherainbow,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-coloursoftherainbow/
3210,mojagoesshopping,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-mojagoesshopping/
3222,bustotown,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-bustotown/
3234,mycatrita,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-mycatrita/
3246,whatischifundomaking,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-whatischifundomaking/
3255,mojagoesshopping,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-mojagoesshopping/
3257,liketoread,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-liketoread/
3266,liketoread,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-liketoread/
3270,littlechef,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-littlechef/
3271,manwhosneezedloudly,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-manwhosneezedloudly/
3282,manwhosneezedloudly,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-manwhosneezedloudly/
3285,bestthingever,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-bestthingever/
3286,myfriends,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-myfriends/
3297,myfriends,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-myfriends/
3300,antplan,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-antplan/
3301,inthemarket,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-inthemarket/
3312,inthemarket,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-inthemarket/
3315,manufindsafriend,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-manufindsafriend/
3327,littlechef,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-littlechef/
3338,bestthingever,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-bestthingever/
3349,antplan,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-antplan/
3360,manufindsafriend,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-manufindsafriend/
3362,ranisfirstday,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-ranisfirstday/
3372,ranisfirstday,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-ranisfirstday/
3375,whereisgogo,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-whereisgogo/
3376,jadavforest,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-jadavforest/
3387,jadavforest,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-jadavforest/
3390,littlebird,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-littlebird/
3391,verybusyday,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-verybusyday/
3402,verybusyday,False,onecourse-assets-sw-v3.0.1.tar.gz:assets/oc-reading/books/xr-verybusyday/
