Child ID,Village ID,Serial #1,Serial #2,Date #2,Serial #3,Date #3,Serial #4,Date #4,Serial #5,Date #5,Serial #6,Date #6,Serial #7,Date #7
UXEHSK,18,6116002215,5A22000709,2018-12-17,6116002869,2019-01-11,,,,,,,,
EXTRA,18,6129001155,6118002806,2018-12-17,5A28001810,2019-01-11,,,,,,,,
GYZRGF,18,6126000238,6116001150,2019-01-11,,,,,,,,,,
SBZTRG,18,5A27001935,6111001128,2018-05-21,5B20001258,2018-11-05,5A27002032,2019-01-11,,,,,,
CKBRMG,18,6111001325,6129001207,2019-01-11,,,,,,,,,,
EXTRA,18,6129001448,6111001180,2019-01-11,,,,,,,,,,
EXTRA,18,5A27001917,5A23002623,2018-10-22,6116002829,2019-01-11,,,,,,,,
EXTRA,18,5A27001510,5B13001045,2019-01-11,,,,,,,,,,
EXTRA,18,6115000570,6116002568,2019-01-11,,,,,,,,,,
EXTRA,18,6118003171,6118001559,2019-01-11,,,,,,,,,,
EXTRA,18,5A27001827,5B13002204,2019-01-11,,,,,,,,,,
EXTRA,18,6113002090,5A29001300,2019-01-11,6111000290,2019-01-29,,,,,,,,
EXTRA,18,5A27002007,6118002652,2018-12-17,5B12003753,2019-01-11,,,,,,,,
EXTRA,18,5A27001930,6129001080,2018-08-06,6111001467,2019-01-11,,,,,,,,
EXTRA,18,6116001737,6114000061,2018-10-15,6112001136,2019-01-11,,,,,,,,
EXTRA,18,6111001120,5B20001221,2018-12-17,6118002499,2019-01-11,,,,,,,,
EXTRA,18,6116001471,6111000672,2018-10-09,6116002202,2019-01-11,,,,,,,,
EXTRA,18,5A22000053,5B12002791,2019-01-11,,,,,,,,,,
EXTRA,18,6111002129,6115000467,2018-09-10,5A27001778,2018-10-15,6118003317,2019-01-11,,,,,,
SPARE,18,6111000672,5A28002545,2019-01-11,,,,,,,,,,
WTFETK,19,6118002953,5A27000022,2018-10-31,5A27001315,2019-01-11,,,,,,,,
FRUYTQ,19,6116002700,6118002789,2019-01-11,,,,,,,,,,
PAPGVM,19,6118003041,5A28000383,2019-01-11,,,,,,,,,,
BHYPMK,19,6116001390,5B20001298,2019-01-11,,,,,,,,,,
BAZTBV,19,6118002083,6112001242,2019-01-11,,,,,,,,,,
YWURTB,19,5A28001272,6118003592,2018-09-05,6111001942,2019-01-11,,,,,,,,
XUWBQT,19,6111000135,6116002063,2019-01-11,,,,,,,,,,
PTSSER,19,6111000285,6116001084,2019-01-11,,,,,,,,,,
MNYXWU,19,5A22000819,6109000134,2019-01-11,,,,,,,,,,
KAXMXZ,19,6116001180,,2019-01-11,,,,,,,,,,
KSEMGR,19,6118001917,6111001552,2019-01-11,,,,,,,,,,
ECYRTW,19,6116001119,6111000385,2018-12-11,5B13002222,2019-01-11,,,,,,,,
EKZSUT,19,6111001900,5A27001466,2019-01-11,,,,,,,,,,
QMEMPM,19,6111000309,6129001067,2019-01-11,,,,,,,,,,
RKVQZF,19,5B12002762,6118003173,2019-01-11,,,,,,,,,,
XWZUAC,19,5A27002018,6115000810,2019-01-11,,,,,,,,,,
XKFKPK,19,6111001849,6116001501,2018-10-16,6118002843,2019-01-11,,,,,,,,
BQZZAK,19,6116001803,5B13002296,2019-01-11,,,,,,,,,,
MBCSZE,19,6118002640,6116002028,2018-11-08,6116000751,2019-01-11,,,,,,,,
MCCYVY,19,6116001871,6118002087,2019-01-11,,,,,,,,,,
SPARE,19,6116001501,6116001874,2019-01-11,,,,,,,,,,
HQAAGN,20,6116001474,6111001200,2019-01-11,,,,,,,,,,
